PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,PredictProba,Prediction,CM,Survived
1,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,,S,0.18759523809523812,0.0,TN,0
2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,1.0,1.0,TP,1
3,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,,S,0.56,1.0,TP,1
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,1.0,1.0,TP,1
5,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,,S,0.0,0.0,TN,0
6,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,0.051551075451597025,0.0,TN,0
7,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,0.06,0.0,TN,0
8,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S,0.25,0.0,TN,0
9,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S,0.31,0.0,FN,1
10,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C,0.97,1.0,TP,1
11,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,0.71,1.0,TP,1
12,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,0.47,0.0,FN,1
13,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S,0.01,0.0,TN,0
14,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S,0.19,0.0,TN,0
15,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S,0.98,1.0,FP,0
16,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S,0.8,1.0,TP,1
17,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,,Q,0.06,0.0,TN,0
18,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S,0.0,0.0,FN,1
19,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S,0.7717261904761902,1.0,FP,0
20,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,0.67,1.0,TP,1
21,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,0.03,0.0,TN,0
22,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,0.15,0.0,FN,1
23,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Q,0.73,1.0,TP,1
24,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,0.2733333333333333,0.0,FN,1
25,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S,0.04,0.0,TN,0
26,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S,0.02,0.0,FN,1
27,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,0.06595825708748018,0.0,TN,0
28,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,0.43,0.0,TN,0
29,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,0.9034565573315569,1.0,TP,1
30,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,0.03950616596347868,0.0,TN,0
31,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,,C,0.22823484848484846,0.0,TN,0
32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,1.0,1.0,TP,1
33,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,0.7953830820769842,1.0,TP,1
34,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,S,0.69,1.0,FP,0
35,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C,0.15,0.0,TN,0
36,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,S,0.26,0.0,TN,0
37,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,0.06453350968852742,0.0,FN,1
38,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S,0.0,0.0,TN,0
39,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,,S,0.43,0.0,TN,0
40,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,,C,0.4766666666666666,0.0,FN,1
41,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,,S,0.5363333333333332,1.0,FP,0
42,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S,0.81,1.0,FP,0
43,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,0.07147016962071057,0.0,TN,0
44,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,,C,0.7,1.0,TP,1
45,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,,Q,0.4456666666666667,0.0,FN,1
46,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,0.03793773289051263,0.0,TN,0
47,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,0.0,0.0,TN,0
48,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,0.9034565573315569,1.0,TP,1
49,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,0.71,1.0,FP,0
50,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,,S,0.81,1.0,FP,0
51,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S,0.01,0.0,TN,0
52,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,S,0.27808730158730155,0.0,TN,0
53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,1.0,1.0,TP,1
54,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,,S,0.99,1.0,TP,1
55,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,0.3253333333333333,0.0,TN,0
56,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,0.024166666666666666,0.0,FN,1
57,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,,S,0.505,1.0,TP,1
58,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,0.07653846153846154,0.0,TN,0
59,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,,S,0.96,1.0,TP,1
60,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,,S,0.01,0.0,TN,0
61,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,,C,0.120766832582622,0.0,TN,0
62,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,,0.99,1.0,TP,1
63,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,0.7049523809523809,1.0,FP,0
64,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S,0.06,0.0,TN,0
65,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,0.07,0.0,TN,0
66,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,0.91,1.0,TP,1
67,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,0.9,1.0,TP,1
68,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,,S,0.0,0.0,TN,0
69,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,,S,0.12,0.0,FN,1
70,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,,S,0.07666666666666666,0.0,TN,0
71,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,S,0.5820000000000001,1.0,FP,0
72,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,,S,0.3,0.0,TN,0
73,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,,S,0.04,0.0,TN,0
74,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,,C,0.09,0.0,TN,0
75,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,0.9022222222222223,1.0,TP,1
76,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,0.0672579365079365,0.0,TN,0
77,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,0.06966187617122867,0.0,TN,0
78,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,0.0585056198369565,0.0,TN,0
79,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S,1.0,1.0,TP,1
80,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,,S,0.07,0.0,FN,1
81,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,,S,0.0,0.0,TN,0
82,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S,0.40633807238612735,0.0,FN,1
83,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,0.7953830820769842,1.0,TP,1
